Date,open,high,low,close,volume,symbol,sma_10,sma_20,ema_20,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower
2026-07-28 00:00:00-04:00,339.73698155301014,342.59453283396704,335.31080637618777,339.78692626953125,51859000,AAPL,,,339.78692626953125,,0.0,0.0,0.0,,
2026-07-29 00:00:00-04:00,339.43727163464206,344.2730974331505,337.0593175600121,337.8985900878906,56090800,AAPL,,,339.6070847284226,,-0.15063650451833155,-0.03012730090366631,-0.12050920361466524,,
2026-07-30 00:00:00-04:00,332.8129674612056,334.4615395264105,329.30598233808786,333.1426696777344,74817800,AAPL,,,338.9914261521665,,-0.6463295649423344,-0.15336775371139993,-0.49296181123093447,,
2026-07-31 00:00:00-04:00,304.5473560391476,310.4222943774597,299.7415030462749,308.6438293457031,132489100,AAPL,,,336.10117883726525,,-2.981650940024167,-0.7190243909739533,-2.2626265490502138,,
2026-08-03 00:00:00-04:00,309.313234694189,311.5313230344714,302.29929450581176,303.1585693359375,75052000,AAPL,,,332.9637874561864,,-5.214910355012307,-1.6182015837816244,-3.596708771230683,,
2026-08-04 00:00:00-04:00,302.46913991298527,310.1525156602479,301.0603512911937,309.1134033203125,68001000,AAPL,,,330.6923223003889,,-6.430156355408826,-2.580592538107065,-3.8495638173017612,,
2026-08-05 00:00:00-04:00,309.09342362565195,311.4414048335362,305.406631186344,310.7320251464844,49438800,AAPL,,,328.79134161906467,,-7.17987320314279,-3.50044867111421,-3.6794245320285803,,
2026-08-06 00:00:00-04:00,314.06913775687,316.0174696892129,308.96355554648414,312.14080810546875,46139900,AAPL,,,327.20557652253177,,-7.573054734375546,-4.314969883766477,-3.2580848506090687,,
2026-08-07 00:00:00-04:00,311.1816431226555,314.53873325457766,310.47223295908327,313.0599975585937,34437200,AAPL,,,325.85837852596626,,-7.721474670170437,-4.996270841047269,-2.725203829123168,,
2026-08-10 00:00:00-04:00,306.8299865722656,308.260009765625,304.6099853515625,308.260009765625,44812500,AAPL,317.59368286132815,,324.18234340593375,,-8.132669091441187,-5.623550491126053,-2.5091186003151336,,
2026-08-11 00:00:00-04:00,307.75,309.9700012207031,302.7900085449219,304.9100036621094,37476700,AAPL,314.1059906005859,,322.3468824779505,,-8.629386927287726,-6.2247177783583885,-2.4046691489293375,,
2026-08-12 00:00:00-04:00,305.1000061035156,305.6600036621094,300.57000732421875,302.25,41657800,AAPL,310.5411315917969,,320.43289367052665,,-9.132406755457907,-6.806255573778293,-2.3261511816796148,,
2026-08-13 00:00:00-04:00,304.2099914550781,306.0,302.04998779296875,305.260009765625,40349300,AAPL,307.75286560058595,,318.9878571081551,,-9.182322858840962,-7.281469030790826,-1.9008538280501357,,
2026-08-14 00:00:00-04:00,306.0,307.489990234375,304.29998779296875,305.92999267578125,28229400,AAPL,307.4814819335937,,317.7442509717385,22.257408867034442,-9.063343130950898,-7.637843850822842,-1.4254992801280562,,
2026-08-17 00:00:00-04:00,306.2099914550781,307.6600036621094,302.94000244140625,305.5899963378906,38169300,AAPL,307.72462463378906,,316.5867029113721,22.134079896072677,-8.893961648806624,-7.889067410419599,-1.004894238387025,,
2026-08-18 00:00:00-04:00,307.5799865722656,311.489990234375,305.739990234375,310.0299987792969,53424500,AAPL,307.8162841796875,,315.9622548987935,28.19749313596749,-8.305711442127802,-7.97239621676124,-0.33331522536656166,,
2026-08-19 00:00:00-04:00,310.1400146484375,319.2799987792969,309.6000061035156,316.8299865722656,50505600,AAPL,308.42608032226565,,316.04489601055275,37.63356977276827,-7.207730499653962,-7.819463073339785,0.6117325736858223,,
2026-08-20 00:00:00-04:00,317.4599914550781,320.2799987792969,310.6499938964844,311.29998779296875,40959200,AAPL,308.3419982910156,,315.5929999898305,52.826502491785526,-6.706489145355988,-7.596868287743026,0.8903791423870375,,
2026-08-21 00:00:00-04:00,312.04998779296875,312.3800048828125,307.010009765625,309.3500061035156,46876800,AAPL,307.9709991455078,,314.9984291435148,57.12455620990089,-6.392905550744331,-7.356075740343287,0.963170189598956,,
2026-08-24 00:00:00-04:00,311.4700012207031,313.3599853515625,309.9700012207031,310.3399963378906,34673600,AAPL,308.1789978027344,312.88634033203124,314.5547688763125,51.59353498894244,-5.9953931938107985,-7.08393923103679,1.0885460372259912,334.86635799750053,290.90632266656195
2026-08-25 00:00:00-04:00,310.7900085449219,313.5899963378906,308.2099914550781,309.8999938964844,25869800,AAPL,308.67799682617186,311.3919937133789,314.1114569734717,48.88491344827755,-5.650728229216497,-6.797297030672731,1.146568801456234,329.3711681786309,293.4128192481269
2026-08-26 00:00:00-04:00,310.29998779296875,315.42999267578125,308.79998779296875,313.45001220703125,34024500,AAPL,309.797998046875,310.16956481933596,314.0484622338107,51.659356216203676,-5.033103468887077,-6.4444583183156015,1.4113548494285242,323.2054669392991,297.13366269937285
2026-08-27 00:00:00-04:00,310.5450134277344,315.3999938964844,309.40008544921875,314.5799865722656,32248789,AAPL,310.72999572753906,309.2414306640625,314.0990835993779,51.91627737333002,-4.401711716201305,-6.035908997892743,1.6341972816914376,316.9417334248365,301.54112790328844
