Date,open,high,low,close,volume,symbol,sma_10,sma_20,ema_20,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower
2026-08-17 00:00:00-04:00,489.2190622628328,491.73431632358415,477.5110914717105,479.4474487304688,29635800,MSFT,,,479.4474487304688,,0.0,0.0,0.0,,
2026-08-18 00:00:00-04:00,480.6352093836093,483.36006030134655,476.2534434403709,480.72503662109375,24087600,MSFT,,,479.56912376767116,,0.10191584312673285,0.020383168625346573,0.08153267450138628,,
2026-08-19 00:00:00-04:00,479.1679704739861,488.3806080919379,478.4592826108848,483.3999938964844,19961900,MSFT,,,479.93396854184385,,0.39398990921870336,0.09510451674401793,0.29888539247468543,,
2026-08-20 00:00:00-04:00,483.2999877929688,484.1600036621094,479.5,481.1499938964844,20020800,MSFT,,,480.04978048038106,,0.43884577400058333,0.163852768195331,0.2749930058052523,,
2026-08-21 00:00:00-04:00,479.8800048828125,486.3599853515625,478.5299987792969,483.239990234375,22510800,MSFT,,,480.3536099807614,,0.635711520952043,0.2582245187466734,0.37748700220536957,,
2026-08-24 00:00:00-04:00,483.2099914550781,490.6099853515625,481.8599853515625,487.30999755859375,17230800,MSFT,,,481.0161230834121,,1.107379439487545,0.42805550289484773,0.6793239365926972,,
2026-08-25 00:00:00-04:00,485.4400024414063,492.4400024414063,484.2999877929688,491.7099914550781,19519000,MSFT,,,482.0345867378565,,1.8152967868974201,0.7055037596953622,1.109793027202058,,
2026-08-26 00:00:00-04:00,487.8500061035156,497.3999938964844,487.30999755859375,496.3699951171875,20758900,MSFT,,,483.3998637263642,,2.7209839262968103,1.1085997930156517,1.6123841332811586,,
2026-08-27 00:00:00-04:00,494.8800048828125,506.4800109863281,490.0799865722656,505.05999755859375,28688800,MSFT,,,485.46273361514795,,4.092779071564621,1.7054356487254456,2.3873434228391757,,
2026-08-28 00:00:00-04:00,505.3299865722656,517.780029296875,504.8699951171875,513.530029296875,29207300,MSFT,490.1942474365234,,488.13580939436,,5.796578038329017,2.52366412664616,3.2729139116828567,,
2026-08-31 00:00:00-04:00,510.3800048828125,512.1900024414062,506.3900146484375,507.2900085449219,27208900,MSFT,492.97850341796874,,489.9600188372707,,6.567625966112985,3.3324564945395254,3.2351694715734594,,
2026-09-01 00:00:00-04:00,497.5199890136719,505.9700012207031,496.7799987792969,501.0199890136719,21046900,MSFT,495.00799865722655,,491.0133493302613,,6.596706106857084,3.9853064170030374,2.611399689854047,,
2026-09-02 00:00:00-04:00,499.8500061035156,500.2699890136719,493.80999755859375,496.8200073242188,15336100,MSFT,496.35,,491.5663643773048,,6.209272280567916,4.430099589716013,1.7791726908519028,,
2026-09-03 00:00:00-04:00,501.6600036621094,515.6500244140625,500.7999877929688,510.1199951171875,24125900,MSFT,499.2470001220703,,493.3333768287222,72.35849837296155,6.89593400948911,4.923266473670633,1.972667535818477,,
2026-09-04 00:00:00-04:00,510.0,511.0,499.3599853515625,499.7000122070313,18101800,MSFT,500.89300231933595,,493.9397230552278,62.81603841358569,6.524106995047475,5.243434577946002,1.2806724171014734,,
2026-09-08 00:00:00-04:00,493.010009765625,495.1900024414063,490.1499938964844,493.9500122070313,18882300,MSFT,501.5570037841797,,493.94070297444716,57.92057130407705,5.699751277236487,5.3346979178041,0.3650533594323875,,
2026-09-09 00:00:00-04:00,493.0700073242188,494.3900146484375,489.7999877929688,491.6499938964844,12889600,MSFT,501.55100402832034,,493.72254020511735,54.963298878219845,4.80545686070576,5.228849706384432,-0.42339284567867175,,
2026-09-10 00:00:00-04:00,488.3200073242188,494.5199890136719,486.0,492.4400024414063,16038800,MSFT,501.1580047607422,,493.6003937514306,56.91365642948691,4.113056425574825,5.005691050222511,-0.8926346246476857,,
2026-09-11 00:00:00-04:00,495.6499938964844,498.9700012207031,492.5799865722656,495.6300048828125,14510500,MSFT,500.2150054931641,,493.79369004965747,57.48640816299436,3.7781781435123776,4.760188468880485,-0.9820103253681074,,
2026-09-14 00:00:00-04:00,497.05999755859375,509.9500122070313,495.3399963378906,505.4100036621094,23091900,MSFT,499.4030029296875,494.79862518310546,494.90000563179575,60.230610085560265,4.252923800717781,4.658735535247945,-0.4058117345301637,515.2918785436002,474.3053718226107
2026-09-15 00:00:00-04:00,500.00201416015625,505.8999938964844,495.5400085449219,497.1199951171875,17364843,MSFT,498.38600158691406,495.68225250244143,495.11143320183305,52.92907402762674,3.915097935392396,4.510008015276835,-0.5949100798844391,514.8709992225164,476.4935057823665
